title,release_date,meta_score
Boyhood,2014,100 Metascore
Moonlight,2016,99 Metascore
Pan's Labyrinth,2006,98 Metascore
Spirited Away,2001,96 Metascore
Gravity,2013,96 Metascore
Ratatouille,2007,96 Metascore
Manchester by the Sea,2016,96 Metascore
12 Years a Slave,2013,96 Metascore
Parasite,2019,96 Metascore
WALLE,2008,95 Metascore
The Hurt Locker,2008,95 Metascore
Portrait of a Lady on Fire,2019,95 Metascore
Mr. Turner,2014,94 Metascore
Inside Out,2015,94 Metascore
La La Land,2016,94 Metascore
Marriage Story,2019,94 Metascore
The Irishman,2019,94 Metascore
"Crouching Tiger, Hidden Dragon",2000,94 Metascore
45 Years,2015,94 Metascore
Call Me by Your Name,2017,94 Metascore
Dunkirk,2017,94 Metascore
Carol,2015,94 Metascore
Before Midnight,2013,94 Metascore
The Lord of the Rings: The Return of the King,2003,94 Metascore
Sideways,2004,94 Metascore
Toni Erdmann,2016,93 Metascore
Shoplifters,2018,93 Metascore
Inside Llewyn Davis,2013,93 Metascore
Spotlight,2015,93 Metascore
Lady Bird,2017,93 Metascore
There Will Be Blood,2007,93 Metascore
The Lord of the Rings: The Fellowship of the Ring,2001,92 Metascore
The Souvenir,2019,92 Metascore
Leviathan,2014,92 Metascore
The Florida Project,2017,92 Metascore
Toy Story 3,2010,92 Metascore
The Diving Bell and the Butterfly,2007,92 Metascore
No Country for Old Men,2007,92 Metascore
Son of Saul,2015,91 Metascore
Burning,2018,91 Metascore
Lost in Translation,2003,91 Metascore
Her,2013,91 Metascore
Before Sunset,2004,91 Metascore
The Triplets of Belleville,2003,91 Metascore
The Favourite,2018,91 Metascore
Once,2007,90 Metascore
Finding Nemo,2003,90 Metascore
The Incredibles,2004,90 Metascore
Bloody Sunday,2002,90 Metascore
Cold War,2018,90 Metascore
Gosford Park,2001,90 Metascore
American Hustle,2013,90 Metascore
American Splendor,2003,90 Metascore
Almost Famous,2000,90 Metascore
Persepolis,2007,90 Metascore
The Queen,2006,90 Metascore
"Two Days, One Night",2014,89 Metascore
Eternal Sunshine of the Spotless Mind,2004,89 Metascore
The Artist,2011,89 Metascore
Whiplash,2014,89 Metascore
Columbus,2017,89 Metascore
House of Flying Daggers,2004,89 Metascore
A Serious Man,2009,88 Metascore
Can You Ever Forgive Me?,2018,87 Metascore
The Shape of Water,2017,87 Metascore
Eighth Grade,2018,87 Metascore
Hereditary,2018,87 Metascore
Moneyball,2011,87 Metascore
If Beale Street Could Talk,2018,87 Metascore
Birdman or (The Unexpected Virtue of Ignorance),2014,87 Metascore
Talk to Her,2002,86 Metascore
The Kids Are All Right,2010,86 Metascore
Nebraska,2013,86 Metascore
The Great Beauty,2013,86 Metascore
Loveless,2017,86 Metascore
Tangerine,2015,86 Metascore
The Babadook,2014,86 Metascore
The Big Sick,2017,86 Metascore
Million Dollar Baby,2004,86 Metascore
Before the Devil Knows You're Dead,2007,86 Metascore
Before Night Falls,2000,85 Metascore
The Savages,2007,85 Metascore
Atonement,2007,85 Metascore
Half Nelson,2006,85 Metascore
Hedwig and the Angry Inch,2001,85 Metascore
Rachel Getting Married,2008,85 Metascore
An Education,2009,85 Metascore
